h,Euler_error,Runge_Kutta_4_error,Adams_3_error
0.2,0.1339167441843172,7.589113066197584e-06,0.0013047894623929857
0.16666666666666666,0.11229313735367352,2.652275133074866e-06,0.0008882660565017186
0.14285714285714285,0.09678734257534893,1.0403752008780742e-06,0.0006195811313982613
0.125,0.08509576033421484,4.3754347300861696e-07,0.0004471324539536692
0.1111111111111111,0.07595201247121053,1.9217696212159296e-07,0.00033197284675745564
0.1,0.06859854843487168,9.68347411145487e-08,0.0002526964799711706
0.09090909090909091,0.06255295780017689,5.2771236491722107e-08,0.00019652760620658682
0.08333333333333333,0.05749281860415589,3.0469848866232496e-08,0.00015571323105900703
0.07692307692307693,0.053194150107234384,1.7855791512033647e-08,0.0001253882377394433
0.07142857142857142,0.04949635524027962,1.115624170822116e-08,0.00010241054932547122
0.06666666666666667,0.04628120002514935,9.854452143187586e-09,8.46954087783125e-05
0.0625,0.04345966408108648,1.0079859613654207e-08,7.082547970349573e-05
0.058823529411764705,0.04096341653044244,9.613907892003226e-09,5.981573407498608e-05
0.05555555555555555,0.038739119607663186,8.852023780647755e-09,5.096785753799793e-05
0.05263157894736842,0.036744520474663256,7.9958182297446e-09,4.377782299203048e-05
0.05,0.034945707539972615,7.145835922983679e-09,3.7875862948011374e-05
0.047619047619047616,0.03331514485138687,6.3494089985738356e-09,3.2986659383338335e-05
0.045454545454545456,0.03183023830086107,5.625868659819844e-09,2.8902430371235965e-05
0.043478260869565216,0.03047227274452413,4.980013734723343e-09,2.5464412305220563e-05
0.041666666666666664,0.029225612550394908,4.409370646385469e-09,2.254991077754731e-05
0.04,0.028077092318627095,3.908110501882334e-09,2.0063109477108654e-05
0.038461538461538464,0.027015546940647228,3.4691460815139408e-09,1.7928456002458404e-05
0.037037037037037035,0.0260314451400534,3.085224520305019e-09,1.608584107004596e-05
0.03571428571428571,0.02511660082158862,2.7494719834209036e-09,1.4487043031197189e-05
0.034482758620689655,0.02426394359253381,2.4556319200286225e-09,1.3093076633552414e-05
0.03333333333333333,0.023467334758159097,2.198146109577692e-09,1.1872195673889863e-05
0.03225806451612903,0.02272141860436583,1.972146890238946e-09,1.0798373819342899e-05
0.03125,0.022021501310117264,1.7734100854482904e-09,9.850138721345658e-06
0.030303030303030304,0.02136345167573306,1.5982886125698315e-09,9.00966972139372e-06
0.029411764705882353,0.02074361921158796,1.443644093157559e-09,8.262094027156053e-06
0.02857142857142857,0.020158766142964524,1.3067831261537322e-09,7.594933605581389e-06
0.027777777777777776,0.019606010646761707,1.185390230418193e-09,6.997667487684822e-06
0.02702702702702703,0.019082779212067802,1.0774792169598868e-09,6.461383070588411e-06
0.02631578947368421,0.01858676645718793,9.813401202762861e-10,5.978496625536067e-06
0.02564102564102564,0.018115901075354657,8.955025609935774e-10,5.542527908186656e-06
0.025,0.017668316844980714,8.18697554194614e-10,5.147917400138979e-06
0.024390243902439025,0.01724232784651858,7.498333065569796e-10,4.789877320332536e-06
0.023809523809523808,0.016836407190220726,6.879621317068541e-10,4.464269544923738e-06
0.023255813953488372,0.01644916868763202,6.322624646060149e-10,4.167505098795488e-06
0.022727272727272728,0.016079351002046716,5.82020653894233e-10,3.896461018282338e-06
0.022222222222222223,0.015725803895210833,5.366178612575823e-10,3.6484112986290285e-06
0.021739130434782608,0.015387476253647447,4.955109655924161e-10,3.4209692698627947e-06
0.02127659574468085,0.01506340563151043,4.5823012051471324e-10,3.2120393451684492e-06
0.020833333333333332,0.014752709090423588,4.243569939887948e-10,3.0197764471218136e-06
0.02040816326530612,0.014454575152355043,3.9353209579928716e-10,2.84255176752346e-06
0.02,0.014168256710826332,3.654319069568146e-10,2.6789237717039782e-06
0.0196078431372549,0.013893064769826546,3.397777614821962e-10,2.5276135626750573e-06
0.019230769230769232,0.013628362899838153,3.1631897101647155e-10,2.3874838739335047e-06
0.018867924528301886,0.013373562316863152,2.948374877576043e-10,2.2575211100495096e-06
0.018518518518518517,0.013128117504285441,2.7513680223023584e-10,2.136819941656043e-06
0.01818181818181818,0.01289152230892765,2.5704438577633937e-10,2.0245700558252366e-06
0.017857142857142856,0.012663306452443068,2.4040835988614617e-10,1.92004472365781e-06
0.017543859649122806,0.01244303240735789,2.2508683805710916e-10,1.8225909155233921e-06
0.017241379310344827,0.012230292594061831,2.1096169255940822e-10,1.7316207296946828e-06
0.01694915254237288,0.012024706860899181,1.979207908675562e-10,1.6466039376439312e-06
0.016666666666666666,0.011825920214564523,1.858673215338058e-10,1.5670614965657137e-06
0.01639344262295082,0.011633600772239516,1.7471468716223626e-10,1.4925598725845646e-06
0.016129032258064516,0.011447437910610425,1.6438050920442038e-10,1.4227060793903235e-06
0.015873015873015872,0.011267140590030866,1.547968420112511e-10,1.3571433223891205e-06
0.015625,0.011092435834769487,1.458995146919051e-10,1.295547170432343e-06
0.015384615384615385,0.010923067352655247,1.3763012951528708e-10,1.2376221791843278e-06
0.015151515151515152,0.010758794279422723,1.299349516870052e-10,1.1830989217198606e-06
0.014925373134328358,0.010599390034804257,1.2276868410765474e-10,1.1317313444170196e-06
0.014705882352941176,0.010444641278929856,1.1608713990085562e-10,1.0832944503658126e-06
0.014492753623188406,0.010294346958922507,1.0985368170679521e-10,1.0375822112607125e-06
0.014285714285714285,0.010148317436728949,1.0403167216566089e-10,9.944057388633354e-07
0.014084507042253521,0.010006373690206072,9.85886927651336e-11,9.535916385416954e-07
0.013888888888888888,0.009868346580395704,9.349543361736323e-11,9.149805513253284e-07
0.0136986301369863,0.0097340761786735,8.872702572659819e-11,8.784258420657665e-07
0.013513513513513514,0.00960341114813712,8.42572678294573e-11,8.437924330362279e-07
0.013333333333333334,0.009476208174198142,8.006506568847271e-11,8.109557529945022e-07
0.013157894736842105,0.009352331439875572,7.613021324459623e-11,7.79800800376762e-07
0.012987012987012988,0.009231652141746371,7.243183830496491e-11,7.502212886478787e-07
0.01282051282051282,0.009114048042922818,6.89561741040734e-11,7.221188937922562e-07
0.012658227848101266,0.008999403059801514,6.568590116273754e-11,6.954025619787529e-07
0.0125,0.008887606879623533,6.260636453703228e-11,6.699878942750814e-07
0.012345679012345678,0.008778554606221567,5.970512972908182e-11,6.457965802120214e-07
0.012195121951219513,0.008672146431556893,5.696887406259066e-11,6.227558955185231e-07
0.012048192771084338,0.00856828733085857,5.4388271664151944e-11,6.007982455979999e-07
0.011904761904761904,0.00846688677943086,5.195155416970465e-11,5.798607396467759e-07
0.011764705882352941,0.008367858489356284,4.9649395705841926e-11,5.598848236143539e-07
0.011627906976744186,0.008271120164465184,4.7473136532971694e-11,5.408159249320477e-07
0.011494252873563218,0.008176593272114285,4.541456100071173e-11,5.226031509764084e-07
0.011363636363636364,0.00808420283046285,4.346700777091428e-11,5.051989928617218e-07
0.011235955056179775,0.00799387720999789,4.162137301477742e-11,4.885590725312028e-07
0.011111111111111112,0.007905547948244163,3.987343788480757e-11,4.7264190072837664e-07
0.01098901098901099,0.00781914957662333,3.821520877522744e-11,4.5740866472243624e-07
0.010869565217391304,0.007734619458543923,3.6641800704728666e-11,4.4282302402720575e-07
0.010752688172043012,0.007651897637902527,3.5149660959632456e-11,4.2885093032296595e-07
0.010638297872340425,0.0075709266971908384,3.3732128201791056e-11,4.1546046358753586e-07
0.010526315789473684,0.007491651624540907,3.2384761539105966e-11,4.026216700037111e-07
0.010416666666666666,0.0074140196890193355,3.110467439171316e-11,3.90306433173393e-07
0.010309278350515464,0.007337980323620208,2.9886315644489514e-11,3.784883388924243e-07
0.01020408163265306,0.007263485015381654,2.8728353029805476e-11,3.6714255302605636e-07
0.010101010101010102,0.007190487202123119,2.7624125209513295e-11,3.562457171479849e-07
0.01,0.007118942175358356,2.6573632183612972e-11,3.4577584218098423e-07
